number,url,labels,original_title,optimized_title,title_quality_score,title_quality_reason,description_confidence,description_confidence_reason,reflective_confidence,reflective_confidence_reason,original_issues,context_used,ai_error
11965,https://github.com/tianocore/edk2/issues/11965,priority:medium | package:ovmfpkg | type:bug | state:needs-maintainer-feedback,[Bug]: qemu-kvm GUEST start failed on RISC-V,OvmfPkg: QEMU RISC-V boot failure due to EXCEPT_RISCV_ILLEGAL_INST,90,"Meets all criteria, specifies package, symptom, and condition.",85,"Provides module name, error code, and reproducible steps.",92,Clearly better than the original by specifying exact error and environment.,Vague symptom description | Missing specific condition,EXCEPT_RISCV_ILLEGAL_INST exception | QEMU RISC-V boot failure,
11962,https://github.com/tianocore/edk2/issues/11962,priority:medium | package:armvirtpkg | type:bug | state:needs-owner | state:needs-triage,[Bug]: LPA2 support regresses emulated boot w/ -cpu max,ArmVirtPkg: Emulated boot hangs with -cpu max and LPA2 enabled,90,"Meets all criteria, naming package, symptom, and condition clearly.",85,"Provides specific details on the issue including module name, symptoms, and repro steps.",92,The optimized title is more specific and actionable than the original vague bug report.,Vague symptom description | Lack of condition details,Package name: ArmVirtPkg | Symptom: boot hangs | Condition: -cpu max with LPA2 enabled,
11948,https://github.com/tianocore/edk2/issues/11948,package:mdepkg | priority:low | type:bug | type:documentation-request | state:needs-maintainer-feedback | type:code-first,[Bug]: Mismatch in the value of LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX,MdePkg: LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX mismatch,85,Meets most criteria but lacks specific condition or trigger details.,70,"Provides module name and symptom, missing repro steps.",82,Improved clarity on the issue without losing original context.,Vague wording | Lacks specific symptom,Package: MdePkg | Mismatch in value definition,
11934,https://github.com/tianocore/edk2/issues/11934,priority:low | type:bug | package:uefipayloadpkg | state:needs-maintainer-feedback | state:needs-owner | state:needs-triage,[Bug]: UefiPayload 202511 bootloops on ThinkPad X230 (coreboot),UefiPayloadPkg: Bootloops on ThinkPad X230 after EDK2 update,85,Meets most criteria but lacks specific condition details.,75,"Provides module name and symptom, but no exact error code or repro steps.",90,Clearly better as it specifies the package and concrete issue without vagueness.,Vague wording | Lacks specific symptoms,Package name (UefiPayloadPkg) | Symptom (bootloops) | Hardware details (ThinkPad X230),
11900,https://github.com/tianocore/edk2/issues/11900,package:mdepkg | priority:low | type:bug,[Bug]: Usage of PcdPostCodePropertyMask is not clear,MdePkg: PostCodeLib does not print POST codes as expected with PcdPostCodePropertyMask set,90,"Meets all criteria, specifies package and symptom clearly.",75,Provides module name and specific behavior issues but lacks exact repro steps.,85,Significantly improves clarity and specificity over the original vague title.,Vague symptom description | Lack of concrete condition,Package: MdePkg | Symptom: PostCodeLib not printing POST codes as expected,
11895,https://github.com/tianocore/edk2/issues/11895,package:emulatorpkg | priority:low | type:bug | state:needs-triage,[Bug]: /EmulatorPkg/Unix/Host/Host.h:69:12: fatal error: termio.h: No such file or directory,EmulatorPkg: Build error due to missing termio.h on Unix,85,Meets most criteria but lacks specific module name and exact condition,70,"Provides package name, symptom, and some context but no repro steps or error code details",85,Improves clarity and specificity over the original vague title,Vague wording | Missing concrete symptom,Package name: EmulatorPkg | Symptom: build error,
11882,https://github.com/tianocore/edk2/issues/11882,priority:medium | type:bug | package:redfishpkg | state:needs-maintainer-feedback | state:needs-triage,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),RedfishPkg: _memcpy undefined symbol build error CLANGPDB NOOPT,85,Meets most criteria but lacks specific module name and exact condition details.,70,"Provides package name, symptom, and build command but no stack trace or full error message.",85,Significantly improves clarity and specificity over the original vague title.,Vague wording | Missing concrete symptom,Package name RedfishPkg | Build error with _memcpy undefined symbol,
11881,https://github.com/tianocore/edk2/issues/11881,priority:medium | type:bug | package:redfishpkg | state:needs-maintainer-feedback | state:needs-triage,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),RedfishPkg: build fails with undefined symbol _fltused in CLANGPDB,85,Meets most criteria but lacks specific condition (DEBUG/RELEASE),90,"Description provided exact error, module name, and repro steps",87,Improved clarity and specificity over the original vague title,Vague wording | Missing specific symptom,Error message | Build command | Toolchain,
11878,https://github.com/tianocore/edk2/issues/11878,priority:medium | type:bug | package:standalonemmpkg | state:needs-maintainer-feedback | state:needs-owner | state:needs-triage,[Bug]: CLANGDWARF cannot build RELEASE AARCH64 StandaloneMmPkg,StandaloneMmPkg: Build error with CLANGDWARF on AARCH64 RELEASE,90,"Meets all criteria, naming package, symptom, and condition.",85,"Provided module name, error message, and build command.",92,Clearly better than original by specifying exact conditions and symptoms.,Vague wording | Missing specific symptom,Package name: StandaloneMmPkg | Build error message | Build command,
11846,https://github.com/tianocore/edk2/issues/11846,priority:low | type:bug | package:uefipayloadpkg,[Bug]: <title> The character caused build error.,UefiPayloadPkg: Build error in Smbios.h and UefiPayloadEntry.c,85,Meets most criteria but lacks specific condition details.,70,"Provides module names and symptoms, missing exact error codes.",82,Improved specificity over original vague title.,Vague symptom description | Lack of specific package/module,Smbios.h build error at line 35 | UefiPayloadEntry.c data type error,
11842,https://github.com/tianocore/edk2/issues/11842,package:basetools | priority:high | type:bug | state:needs-maintainer-feedback | state:needs-triage,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,BaseTools: Linker errors with CLANGDWARF using NASM 2.15.05,87,"Names package, states symptom, includes condition but lacks specific error code or module name.",63,Provides useful context about the issue and affected targets but no exact error codes or repro steps.,82,"Improved clarity by specifying package, symptom, and condition while retaining original intent.",Vague wording | Missing specific symptom,Package: BaseTools | Symptom: Linker errors with CLANGDWARF,
11814,https://github.com/tianocore/edk2/issues/11814,package:mdemodulepkg | package:armvirtpkg | priority:high | type:bug | state:needs-triage,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,MdeModulePkg: Enter key does not work in firmware menus on Arm platforms,85,"Meets most criteria but lacks specific condition (e.g., commit hash or build environment)",70,"Provides module name and symptom, but missing exact error code",85,"Improved by specifying the affected package and concrete symptom, though original was somewhat clear",Vague wording | Lacks specific condition,"Package names (MdeModulePkg, ArmVirtPkg) | Symptom description",
11800,https://github.com/tianocore/edk2/issues/11800,package:mdemodulepkg | priority:medium | type:bug | state:needs-triage,[Bug]: non-x86 Option Rom never be reached if multiple Option Rom images are found on non-x86 platform.,MdeModulePkg: Native LoongArch64 Option Rom not loaded with emulator,85,"Meets most criteria, but lacks specific condition like 'with emulator'",70,Had module name and symptom but missing exact repro steps,82,Improves clarity and specificity over the original vague title,"Vague wording, lack of specific condition",Package impacted: MdeModulePkg | Symptom: Native LoongArch64 Option Rom not loaded,
11797,https://github.com/tianocore/edk2/issues/11797,package:mdepkg | priority:medium | type:bug | state:needs-maintainer-feedback | state:needs-owner | state:needs-triage,[Bug]: Build error when STATIC Stack check is enabled on X86 Architectures on GCC Build,MdePkg: Build error with STATIC StackCheckLib on GCC X86,90,"Meets all criteria, specifies package, symptom, and condition.",75,"Provides module name, symptom, and repro steps but lacks exact error codes.",89,"Clearly better than the original by specifying package, symptom, and condition.",Vague wording | Missing specific symptoms,MdePkg | STATIC StackCheckLib | GCC build error,
11793,https://github.com/tianocore/edk2/issues/11793,package:mdemodulepkg | priority:high | type:bug | state:needs-maintainer-feedback | state:needs-triage,[Bug]: BdsDxe build fails with CLANGPDB,MdeModulePkg/BdsDxe: Uninitialized variable error with CLANGPDB,85,Meets most criteria but lacks specific condition like compiler version or build target,90,"Description provided exact module name, symptom, and error message",87,Improved by specifying the module and concrete symptom while retaining original intent,Vague wording | Lack of specific symptom,Module name MdeModulePkg/BdsDxe | Error message about uninitialized variable,
11792,https://github.com/tianocore/edk2/issues/11792,priority:medium | type:bug | package:uefipayloadpkg | state:needs-maintainer-feedback | state:needs-owner | state:needs-triage,[Bug]: UefiPayloadPkg cannot be built with VS2022,UefiPayloadPkg: Build error with VS2022,85,"Names package, states symptom, but lacks specific condition details.",75,"Provides module name and build failure context, but no exact error codes or repro steps.",80,"Improved clarity on package and symptom, though original was somewhat clear already.",Vague wording | Lacks specific condition,Package name | Build error context,
11791,https://github.com/tianocore/edk2/issues/11791,package:signedcapsulepkg | priority:medium | type:bug | state:needs-maintainer-feedback | state:needs-owner | state:needs-triage,[Bug]: SignedCapsulePkg cannot be built with VS2022,SignedCapsulePkg: Build error with VS2022,85,Meets most criteria but lacks specific condition details.,75,"Provides package name and symptom, missing exact build conditions.",80,Improves clarity over original by specifying the error type and tool.,Vague wording | Lacks specific symptom,Package name: SignedCapsulePkg | Symptom: Build error,
